name,hex,r,g,b,h,s,v
absolute zero,0048ba,0,72,186,217,100,73
acid green,b0bf1a,176,191,26,65,86,75
aero blue,c9ffe5,201,255,229,151,21,100
alabama crimson,af002a,175,0,42,346,100,69
alabaster,f2f0e6,242,240,230,346,100,69
alice blue,f0f8ff,240,248,255,208,6,100
alien armpit,84de02,132,222,2,85,99,87
alloy orange,c46210,196,98,16,27,92,77
amazon,3b7a57,59,122,87,147,52,48
android green,a4c639,164,198,57,74,71,78
anti-flash white,f2f3f4,242,243,244,210,1,96
antique brass,cd9575,205,149,117,22,43,80
antique bronze,665d1e,102,93,30,53,71,40
antique fuchsia,915c83,145,92,131,316,37,57
antique ruby,841b2d,132,27,45,350,80,52
antique white,faebd7,250,235,215,34,14,98
apple green,8db600,141,182,0,74,100,71
army green,4b5320,75,83,32,69,61,33
arylide yellow,e9d66b,233,214,107,51,54,91
ash gray,b2beb5,178,190,181,135,6,75
atomic tangerine,ff9966,255,153,102,20,60,100
aureolin,fdee00,253,238,0,56,100,99
aurometalsaurus,6e7f80,110,127,128,183,14,50
awesome,ff2052,255,32,82,347,98,51
axolotl,63775b,99,119,91,103,24,47
azure mist,f0ffff,240,255,255,180,6,100
baby blue,89cff0,137,207,240,199,43,94
baby blue eyes,a1caf1,161,202,241,209,33,95
baby pink,f4c2c2,244,194,194,0,20,96
baby powder,fefefa,254,254,250,60,2,100
baker-miller pink,ff91af,255,145,175,344,43,100
ball blue,21abcd,33,171,205,192,84,80
banana yellow,ffe135,255,225,53,51,79,100
bangladesh green,006a4e,0,106,78,164,100,42
barbie pink,e0218a,224,33,138,327,85,88
barn red,7c0a02,124,10,2,4,98,49
battery charged blue,1dacd6,29,172,214,194,86,84
battleship gray,848482,132,132,130,60,2,52
bayside,5fc9bf,95,201,191,174,53,79
beau blue,bcd4e6,188,212,230,206,18,90
begonia,fa6e79,250,110,121,355,10,96
beaver,9f8170,159,129,112,22,30,62
beige,f5f5dc,245,245,220,60,10,96
big foot feet,e88e5a,232,142,90,22,61,91
bisque,ffe4c4,255,228,196,33,23,100
bistre,3d2b1f,61,43,31,24,49,24
bistre brown,967117,150,113,23,43,85,59
bittersweet shimmer,bf4f51,191,79,81,359,59,75
black,000000,0,0,0,—,0,0
black coral,54626f,84,98,111,209,24,44
blackberry,8f5973,143,89,115,331,38,56
black shadows,bfafb2,191,175,178,349,8,75
blanched almond,ffebcd,255,235,205,36,20,100
blond,faf0be,250,240,190,50,24,98
blood,8a0303,138,3,3,0,98,54
blood orange,d1001c,210,0,27,352,100,82
blood red,660000,102,0,0,0,100,40
blue,0000ff,0,0,255,240,100,100
blue bolt,00b9fb,0,185,251,196,100,98
blue cola,0088dc,0,136,220,204,100,86
blue-gray,6699cc,102,153,204,210,50,80
blue-green,0d98ba,13,152,186,192,93,73
blue jeans,5dadec,93,173,236,206,61,93
blue lagoon,ace5ee,172,229,238,188,28,93
blue-magenta violet,553592,85,53,146,261,64,57
blue raspberry,0cbfe9,12,191,233,191,95,91
blue yonder,5072a7,80,114,167,217,52,65
blueberry,4f86f7,79,134,247,220,68,97
blush,de5d83,222,93,131,342,58,87
bondi blue,0095b6,0,149,182,191,100,71
bone,e3dac9,227,218,201,39,11,89
booger buster,dde26a,221,226,106,63,53,89
boston university red,cc0000,204,0,0,0,100,80
bottle green,006a4e,0,106,78,164,100,42
brandeis blue,0070ff,0,112,255,214,100,100
brandy,87413f,135,65,63,2,53,53
brick red,cb4154,203,65,84,352,68,80
bright cerulean,1dacd6,29,172,214,194,86,84
bright gray,ebecf0,235,236,240,228,2,94
bright green,66ff00,102,255,0,96,100,100
briquette,e0475c,224,71,92,352,68,88
bright navy blue,1974d2,25,116,210,210,88,82
bright pink,ff007f,255,0,127,330,100,100
british racing green,004225,0,66,37,154,100,26
bronze yellow,737000,115,112,0,58,100,45
brown,993300,153,51,0,20,100,60
brown-nose,6b4423,107,68,35,28,67,42
brown sugar,af6e4d,175,110,77,20,56,69
brunswick green,1b4d3e,27,77,62,162,65,30
bubble gum,ffc1cc,255,193,204,349,24,100
bubbles,e7feff,231,254,255,183,9,100
bud green,7bb661,123,182,97,102,47,71
burlywood,deb887,222,184,135,34,39,87
